Time,Source,Destination,Protocol,Length,Label
0.663761,10.0.0.3,10.0.0.6,IPv4,1514,1
0.916882,10.0.0.5,10.0.0.6,TCP,1057,1
1.067398,10.0.0.3,10.0.0.6,IPv4,1514,1
1.086209,10.0.0.3,10.0.0.6,IPv4,574,1
1.215883,10.0.0.3,10.0.0.6,IPv4,1514,1
1.532196,10.0.0.5,10.0.0.6,TCP,1057,1
1.74684,10.0.0.5,10.0.0.6,TCP,1057,1
2.646866,10.0.0.3,10.0.0.6,IPv4,1514,1
2.834132,10.0.0.5,10.0.0.6,TCP,1057,1
3.260954,10.0.0.5,10.0.0.6,TCP,1057,1
3.332652,10.0.0.3,10.0.0.6,IPv4,1514,1
4.159028,10.0.0.5,10.0.0.6,TCP,1057,1
4.251266,10.0.0.3,10.0.0.6,IPv4,1514,1
4.479616,10.0.0.5,10.0.0.6,TCP,1057,1
4.637982,10.0.0.3,10.0.0.6,TCP,574,1
4.800889,10.0.0.5,10.0.0.6,TCP,1057,1
5.325242,10.0.0.3,10.0.0.6,IPv4,1514,1
6.125325,10.0.0.5,10.0.0.6,TCP,1057,1
6.442762,10.0.0.2,10.0.0.6,TCP,74,1
6.931312,10.0.0.3,10.0.0.6,IPv4,1514,1
7.171174,10.0.0.3,10.0.0.6,TCP,574,1
9.096929,10.0.0.3,10.0.0.6,TCP,1514,1
9.19132,10.0.0.5,10.0.0.6,TCP,1057,1
9.526738,10.0.0.5,10.0.0.6,TCP,1057,1
9.550745,10.0.0.5,10.0.0.6,TCP,1057,1
10.083161,10.0.0.3,10.0.0.6,TCP,1514,1
10.481429,10.0.0.2,10.0.0.6,TCP,1514,1
10.816888,10.0.0.5,10.0.0.6,TCP,1057,1
11.097102,10.0.0.3,10.0.0.6,TCP,1514,1
11.705351,10.0.0.5,10.0.0.6,TCP,1057,1
12.413423,10.0.0.5,10.0.0.6,TCP,1057,1
12.575327,10.0.0.5,10.0.0.6,TCP,1057,1
12.765032,10.0.0.3,10.0.0.6,TCP,574,1
12.783508,10.0.0.5,10.0.0.6,TCP,1057,1
12.83898,10.0.0.5,10.0.0.6,TCP,1057,1
12.944779,10.0.0.5,10.0.0.6,TCP,1057,1
13.293918,10.0.0.3,10.0.0.6,IPv4,1514,1
13.433902,10.0.0.5,10.0.0.6,TCP,1057,1
13.698893,10.0.0.3,10.0.0.6,IPv4,1514,1
15.724617,10.0.0.3,10.0.0.6,IPv4,1514,1
16.321662,10.0.0.5,10.0.0.6,TCP,1057,1
16.424286,10.0.0.5,10.0.0.6,TCP,1057,1
16.443655,10.0.0.3,10.0.0.6,IPv4,1514,1
17.198404,10.0.0.3,10.0.0.6,IPv4,1514,1
17.7107,10.0.0.3,10.0.0.6,IPv4,1514,1
18.153251,10.0.0.3,10.0.0.6,IPv4,1514,1
18.260793,10.0.0.3,10.0.0.6,IPv4,1514,1
18.877503,10.0.0.5,10.0.0.6,TCP,1057,1
18.888572,10.0.0.5,10.0.0.6,TCP,1057,1
19.409002,10.0.0.3,10.0.0.6,IPv4,1514,1
19.860412,10.0.0.3,10.0.0.6,IPv4,1514,1
19.863664,10.0.0.3,10.0.0.6,IPv4,1514,1
20.253775,10.0.0.3,10.0.0.6,IPv4,1514,1
20.373744,10.0.0.5,10.0.0.6,TCP,1057,1
20.443989,10.0.0.3,10.0.0.6,IPv4,1514,1
20.97502,10.0.0.3,10.0.0.6,IPv4,1514,1
21.168218,10.0.0.3,10.0.0.6,IPv4,1514,1
21.686552,10.0.0.3,10.0.0.6,IPv4,1514,1
21.818847,10.0.0.5,10.0.0.6,TCP,1057,1
21.871105,10.0.0.3,10.0.0.6,TCP,1514,1
22.366005,10.0.0.5,10.0.0.6,TCP,1057,1
23.070485,10.0.0.5,10.0.0.6,TCP,1057,1
23.485673,10.0.0.3,10.0.0.6,IPv4,1514,1
23.543781,10.0.0.3,10.0.0.6,IPv4,1514,1
23.802696,10.0.0.5,10.0.0.6,TCP,1057,1
24.75986,10.0.0.3,10.0.0.6,IPv4,1514,1
25.223179,10.0.0.5,10.0.0.6,TCP,1057,1
27.86451,10.0.0.3,10.0.0.6,IPv4,1514,1
